参加者番号,成功,カクテルID,注文ID,カクテル名,コンセプト
1,○,62644016-e511-479f-baaf-a989fe0ef034,503757,アイドル・シャンパンブリュレワルツ,多彩な経験と温かな感謝の心、推し活や創作の喜びを彩り豊かに表現。あなたの日常にエールを贈る特別な一杯。
2,○,14f5b8a0-e366-4821-815f-ca3156976244,990230,煌めくドリーム,感謝の瞬間を鮮烈なベリーで彩り、未知へ挑む冒険心を青りんごで表現。社会へのまなざしとやさしさをホワイトで包み、日常の発見をシトラスで加えました。
3,○,bc106d4b-451d-4911-95b7-0e6b2b121995,735777,AIリフレクション,採用活動のAI化に着目し、目標達成の爽快感と人事としての経験、ドラマ一気見のリラックスを融合。変化と挑戦を応援する一杯です。
4,○,5d5af7d9-31e3-44cb-941a-2f758f4427c1,823254,森の夕暮れグリーンミスト,人との繋がりへの感謝、自然やアウトドアの冒険心、好奇心をベリーと青りんごで爽やかに表現。森で過ごす温かいひとときをイメージしました。
5,○,4cbc2171-a63e-4d9a-8bdc-eaba1029ea61,662524,風のドリーム,多様な経験と新しい発見への好奇心、自然と都会を行き来する日々を、爽やかなシトラスとホワイトの奥深さで表現しました。
6,○,4069b33d-7150-4b57-a75e-d7f1311178db,915776,インスパイアド・グリーンイエローミスト,新しい発見と変化への好奇心、ボードゲームや野球のワクワク感、そして社会の動きを見つめる知的なひとときをイメージしました。
7,○,90dfa33d-1a1f-4df5-bb40-b4c54e5e66f3,300815,スマート・バレエ・トラベラー,未来志向のプロジェクトに挑戦し、目標達成の喜びを味わうあなたへ。バレエの優雅さと海外旅行の刺激を一杯に込めて、知性と冒険心を讃えます。
8,○,84a42e81-e36b-43cb-9007-4b3875e4cfcf,145063,インスパイア・クラウドベリー,新しい発見へのワクワクと、AI時代の広がる未来への期待を、ベリーの華やかさとシトラスの刺激で表現しました。エンジニアとしての知的好奇心と、食を楽しむ遊び心を一杯に込めて。
9,○,ba4b593b-1e13-4a0d-929f-5f3916e2f957,881073,輝くドリーム,忙しさの中にある感謝と癒し。教職員の多忙や社会の変化に寄り添い、映画や散歩、サウナでリフレッシュする瞬間を一杯に込めました。
10,○,f7b1f580-79ac-4f57-b0b5-849c755fc1e3,712101,輝くブレンド,自然への驚きと新しい発見の歓びを、鮮やかな色彩と奥深い味わいで表現。異常気象の不安と情熱的なフラメンコの融合が心に響く一杯。
11,○,,,,
12,○,,,,
13,○,,,,
14,○,,,,
15,○,,,,
16,○,,,,
17,○,,,,
18,○,,,,
19,○,,,,
